opeid,unitid,school_name,inst_name,state,state_abbr,sector,sector_label,closed_date,closed_year,first_ipeds_year,last_ipeds_year,last_enroll,city,zip,country
00241200,175926.0,MARY HOLMES COLLEGE                                                   ,MARY HOLMES COLLEGE,MS        ,MS,5.0,Nonprofit 2-year,2003-05-01,2003,2002.0,2003.0,26.0,WEST POINT               ,39773-0000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00244800,176488.0,WOOD COLLEGE                                                          ,WOOD COLLEGE,MS        ,MS,5.0,Nonprofit 2-year,2003-05-08,2003,2002.0,2002.0,,MATHISTON                ,39752-0000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03301300,408224.0,WORLDWIDE EDUCATIONAL SERVICES                                        ,WORLDWIDE EDUCATIONAL SERVICES INC-NEWARK OFFICE,NJ        ,NJ,9.0,For-profit <2yr,2003-07-09,2003,2002.0,2003.0,3.0,NEWARK                   ,07102-3906,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03126100,408190.0,WORLDWIDE EDUCATIONAL SERVICES                                        ,WORLDWIDE EDUCATIONAL SERVICES INC-JERSEY CITY OFF,NJ        ,NJ,9.0,For-profit <2yr,2003-11-17,2003,2002.0,2003.0,5.0,JERSEY CITY              ,07302-2811,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03029300,368276.0,INTERNATIONAL INSTITUTE OF CHINESE MEDICINE                           ,INTERNATIONAL INSTITUTE OF CHINESE MEDICINE,NM        ,NM,2.0,Public 2-year,2003-08-15,2003,2002.0,2003.0,26.0,SANTA FE                 ,87505-9815,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03297300,188085.0,ROSWELL BEAUTY COLLEGE OF COSMETOLOGY ARTS & SCIENCES                 ,ROSWELL BEAUTY COLLEGE OF ARTS AND SCIENCES,NM        ,NM,9.0,For-profit <2yr,2003-12-29,2003,2002.0,2003.0,,ROSWELL                  ,88201-5752,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03474500,426271.0,DAHAN INSTITUTE OF MASSAGE STUDIES                                    ,DAHAN INSTITUTE OF MASSAGE STUDIES,NV        ,NV,9.0,For-profit <2yr,2003-07-13,2003,2002.0,2003.0,14.0,LAS VEGAS                ,89121-4306,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01064200,201742.0,CHARMAYNE BEAUTY ACADEMY                                              ,CHARMAYNE BEAUTY ACADEMY,OH        ,OH,9.0,For-profit <2yr,2003-11-29,2003,2002.0,2003.0,2.0,MAPLE HEIGHTS            ,44137-2915,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01295000,206400.0,VOGUE BEAUTY ACADEMY                                                  ,VOGUE BEAUTY ACADEMY,OH        ,OH,9.0,For-profit <2yr,2003-11-29,2003,2002.0,2003.0,,CLEVELAND                ,44115-1023,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02345900,,VOGUE BEAUTY ACADEMY                                                  ,,OH        ,,,Unknown,2003-11-29,2003,,,,CLEVELAND HEIGHTS        ,44118-2918,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00889100,212744.0,GORDON PHILLIPS BEAUTY SCHOOL                                         ,GORDON PHILLIPS SCHOOL OF BEAUTY CULTURE,PA        ,PA,9.0,For-profit <2yr,2003-03-07,2003,2002.0,2004.0,1.0,NORRISTOWN               ,19401-1330,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02063400,212726.0,GORDON PHILLIPS BEAUTY SCHOOL                                         ,GORDON PHILLIPS SCHOOL OF BEAUTY CULTURE,PA        ,PA,9.0,For-profit <2yr,2003-03-07,2003,2002.0,2004.0,,UPPER DARBY              ,19082-2302,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03062600,216700.0,ICT:  SCHOOL OF WELDING                                               ,ICT SCHOOL OF WELDING,PA        ,PA,9.0,For-profit <2yr,2003-08-29,2003,2002.0,2003.0,1.0,SELINSGROVE              ,17870-9339,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00895400,215354.0,PITTSBURGH BEAUTY ACADEMY                                             ,PITTSBURGH BEAUTY ACADEMY,PA        ,PA,6.0,Nonprofit <2yr,2003-06-30,2003,2002.0,2003.0,7.0,PITTSBURGH               ,15222-2299,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03116700,433022.0,INSTITUTO FONTECHA                                                    ,INSTITUTO FONTECHA,PR        ,PR,9.0,For-profit <2yr,2003-09-30,2003,2002.0,2003.0,,SANTURCE                 ,00913-0000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02563200,243559.0,TEDDY ULMO INSTITUTE                                                  ,TEDDY ULMO INSTITUTE,PR        ,PR,9.0,For-profit <2yr,2003-04-24,2003,2002.0,2003.0,5.0,RIO PIEDRAS              ,00925-0000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03127800,423634.0,RHODE ISLAND BEAUTY ACADEMY                                           ,RHODE ISLAND BEAUTY ACADEMY,RI        ,RI,9.0,For-profit <2yr,2003-12-05,2003,2002.0,2003.0,,JOHNSTON                 ,02919-4931,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03219300,433086.0,TENNESSEE INSTITUTE OF HEALING ARTS                                   ,TENNESSEE INSTITUTE OF HEALING ARTS,TN        ,TN,9.0,For-profit <2yr,2003-09-12,2003,2002.0,2004.0,18.0,CHATTANOOGA              ,37421-1774,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03605400,441849.0,DICKERSON BEAUTY ACADEMY                                              ,DICKERSON BEAUTY ACADEMY,VA        ,VA,99.0,Unknown/Not Title IV,2003-09-30,2003,2002.0,2003.0,,DANVILLE                 ,24540-4452,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02362200,232362.0,INSTITUTE OF TEXTILE TECHNOLOGY                                       ,INSTITUTE OF TEXTILE TECHNOLOGY,VA        ,VA,2.0,Public 2-year,2003-05-30,2003,2002.0,2003.0,,CHARLOTTESVILLE          ,22903-4614,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03032900,236106.0,NORTHWEST INSTITUTE OF ACUPUNCTURE & ORIENTAL MEDICINE                ,NORTHWEST INSTITUTE OF ACUPUNCTURE & ORIENTAL MED,WA        ,WA,2.0,Public 2-year,2003-06-23,2003,2002.0,2002.0,,KENMORE                  ,98028-4966,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03664300,443155.0,LA LAN 2000 COMPUTER TRAINING CENTER                                  ,La Lan 2000 Computer Training Center,CA        ,CA,9.0,For-profit <2yr,2004-10-31,2004,2003.0,2005.0,,LOS ANGELES              ,90035-4651,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03109600,430953.0,NATIONAL INSTITUTE OF TECHNOLOGY                                      ,NATIONAL INSTITUTE OF TECHNOLOGY,CA        ,CA,9.0,For-profit <2yr,2004-06-28,2004,2002.0,2003.0,2.0,SUNNYVALE                ,94089-2251,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00764800,127042.0,DENVER TECHNICAL COLLEGE                                              ,DENVER TECHNICAL COLLEGE,CO        ,CO,3.0,Public <2yr,2004-06-20,2004,2002.0,2003.0,,DENVER                   ,80224-1639,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03032700,372505.0,COOPER CAREER INSTITUTE                                               ,COOPER CAREER INSTITUTE,FL        ,FL,6.0,Nonprofit <2yr,2004-09-25,2004,2002.0,2004.0,8.0,WEST PALM BEACH          ,33401-3408,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02189900,137421.0,SPURGEON BAPTIST BIBLE COLLEGE                                        ,SPURGEON BAPTIST BIBLE COLLEGE,FL        ,FL,2.0,Public 2-year,2004-06-29,2004,2002.0,2004.0,3.0,MULBERRY                 ,33860-9953,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02614600,133261.0,SUMMIT INSTITUTE                                                      ,SUMMIT INSTITUTE,FL        ,FL,6.0,Nonprofit <2yr,2004-06-02,2004,2002.0,2004.0,20.0,WEST PALM BEACH          ,33407-2151,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02563300,367990.0,KANKAKEE ACADEMY OF HAIR DESIGN                                       ,KANKAKEE ACADEMY OF HAIR DESIGN,IL        ,IL,9.0,For-profit <2yr,2004-12-31,2004,2002.0,2004.0,3.0,CHICAGO                  ,60628-4934,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00574200,,PROVENA UNITED SAMARITANS MEDICAL CENTER SCHOOL OF RAD. TECH.         ,,IL        ,,,Unknown,2004-08-06,2004,,,,DANVILLE                 ,61832-3788,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02262900,157845.0,TRI STATE BEAUTY ACADEMY                                              ,TRI-STATE BEAUTY ACADEMY INC,KY        ,KY,6.0,Nonprofit <2yr,2004-03-20,2004,2002.0,2004.0,,MOREHEAD                 ,40351-1501,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00967400,159799.0,MOLER BEAUTY COLLEGE                                                  ,MOLER BEAUTY COLLEGE,LA        ,LA,9.0,For-profit <2yr,2004-12-02,2004,2002.0,2004.0,4.0,NEW ORLEANS              ,70119-6304,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02609900,373951.0,SER BUSINESS AND TECHNICAL INSTITUTE                                  ,Ser Business and Technical Institute,MI        ,MI,8.0,For-profit 2-year,2004-02-04,2004,2002.0,2005.0,2.0,DETROIT                  ,48210-2038,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00225200,172778.0,WILLIAM TYNDALE COLLEGE                                               ,WILLIAM TYNDALE COLLEGE,MI        ,MI,2.0,Public 2-year,2004-12-31,2004,2002.0,2004.0,77.0,FARMINGTON HILLS         ,48331-3149,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03501300,439880.0,MINNESOTA INSTITUTE OF TECHNOLOGIES                                   ,MINNESOTA INSTITUTE OF TECHNOLOGIES,MN        ,MN,9.0,For-profit <2yr,2004-03-31,2004,2002.0,2003.0,6.0,EDINA                    ,55435-4541,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00442800,180638.0,ST. VINCENT HEALTHCARE                                                ,ST VINCENT HEALTHCARE SCHOOL OF RADIOGRAPHY,MT        ,MT,5.0,Nonprofit 2-year,2004-06-24,2004,2002.0,2003.0,,BILLINGS                 ,59101-0165,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00648200,199351.0,PRESBYTERIAN HOSPITAL SCHOOL OF NURSING                               ,Presbyterian Hospital School of Nursing,NC        ,NC,5.0,Nonprofit 2-year,2004-08-09,2004,2002.0,2006.0,3.0,CHARLOTTE                ,28204-2429,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01191100,183831.0,BRICK COMPUTER SCIENCE INSTITUTE                                      ,BRICK COMPUTER SCIENCE INSTITUTE,NJ        ,NJ,9.0,For-profit <2yr,2004-08-31,2004,2002.0,2004.0,7.0,BRICK                    ,08723-4043,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01191500,366614.0,DRAKE BUSINESS SCHOOL                                                 ,DRAKE BUSINESS SCHOOL-STATEN ISLAND,NY        ,NY,8.0,For-profit 2-year,2004-06-02,2004,2002.0,2004.0,6.0,STATEN ISLAND            ,10306-3004,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01191600,190798.0,DRAKE BUSINESS SCHOOL                                                 ,DRAKE BUSINESS SCHOOL,NY        ,NY,8.0,For-profit 2-year,2004-06-02,2004,2002.0,2004.0,10.0,ASTORIA                  ,11103-4005,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01191700,190789.0,DRAKE SCHOOL OF MANHATTAN                                             ,DRAKE SCHOOL OF MANHATTAN,NY        ,NY,8.0,For-profit 2-year,2004-06-02,2004,2002.0,2004.0,4.0,NEW YORK                 ,10038-2609,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01191800,190804.0,DRAKE SCHOOL OF THE BRONX                                             ,DRAKE SCHOOL OF THE BRONX,NY        ,NY,8.0,For-profit 2-year,2004-06-02,2004,2002.0,2004.0,2.0,BRONX                    ,10462-1404,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03449300,439835.0,CIMS COLLEGE                                                          ,CIMS COLLEGE,OH        ,OH,6.0,Nonprofit <2yr,2004-01-08,2004,2002.0,2003.0,5.0,WHITEHALL                ,43213-2574,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
03016200,,RAPHAEL'S SCHOOL OF BEAUTY CULTURE                                    ,,OH        ,,,Unknown,2004-10-30,2004,,,,WARREN                   ,44483-2022,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02498700,261852.0,DEMARGE COLLEGE                                                       ,DE MARGE COLLEGE NORTH,OK        ,OK,9.0,For-profit <2yr,2004-11-11,2004,2002.0,2003.0,,OKLAHOMA CITY            ,73139-2728,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02498700,422118.0,DEMARGE COLLEGE                                                       ,DEMARGE COLLEGE SOUTH,OK        ,OK,9.0,For-profit <2yr,2004-11-11,2004,2002.0,2004.0,2.0,OKLAHOMA CITY            ,73139-2728,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00489100,211626.0,CHURCHMAN BUSINESS SCHOOL                                             ,CHURCHMAN BUSINESS SCHOOL,PA        ,PA,6.0,Nonprofit <2yr,2004-02-20,2004,2002.0,2004.0,6.0,EASTON                   ,18042-3592,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00534400,418393.0,CONNELLEY TECHNICAL INSTITUTE & ADULT EDUCATION CENTER                ,CONNELLEY TECHNICAL INSTITUTE AND ADULT EDUC CTR,PA        ,PA,7.0,For-profit 4-year,2004-08-27,2004,2002.0,2004.0,,PITTSBURGH               ,15219-3695,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02273100,212939.0,EMPIRE BEAUTY SCHOOL                                                  ,EMPIRE BEAUTY SCHOOL,PA        ,PA,9.0,For-profit <2yr,2004-03-05,2004,2002.0,2003.0,1.0,CHAMBERSBURG             ,17201-2435,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02587800,216108.0,SOUTH PHILADELPHIA BEAUTY ACADEMY                                     ,SOUTH PHILADELPHIA BEAUTY ACADEMY,PA        ,PA,9.0,For-profit <2yr,2004-05-28,2004,2002.0,2004.0,,PHILADELPHIA             ,19145-3620,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
